<<<<<<< HEAD
1|1|Kod Labuda|Apartman|1|Stana|Pepic|10.02.2023.|16.02.2023.|True
2|4|Etno kuca Mladenovic|Apartman|5|Ana|Ranic|14.03.2023.|19.03.2023.|False
3|5|Draganovi Konaci|Kuca|5|Rada|Marjanovic|19.03.2023.|24.03.2023.|False
4|6|Visnjin Dom|Koliba|3|Rajko|Djokic|01.03.2023.|05.03.2023.|False
5|2|Apartmani Filipovic|Koliba|5|Jelena|Blanusa|25.03.2023.|31.03.2023.|False
=======
1|1|Kod Labuda|Apartman|1|Stana|Pepic|02/10/2023|02/16/2023|True
2|4|Etno kuca Mladenovic|Apartman|5|Ana|Ranic|03/14/2023|03/19/2023|False
3|5|Draganovi Konaci|Kuca|5|Rada|Marjanovic|03/19/2023|03/24/2023|False
4|6|Visnjin Dom|Koliba|3|Rajko|Djokic|03/05/2023|03/05/2023|False
5|2|Apartmani Filipovic|Koliba|5|Jelena|Blanusa|03/25/2023|03/31/2023|False
>>>>>>> afa2aca6cf6a15f9ee90368d37240d692e89dcdd
